,postal,sushi,correoelec,Página web,telefono,per_ocu,Alimentos & Bebidas,Bibliotecas,Combustibles,Construcción,Correo postal,Deportes,Desechos,Energía,Escuela,Finanzas,Hospedaje,Juegos de azar,Licores,Maquinaria y Equipos,Mascotas,Medios de comunicación,Parques & áreas verdes,Productos médicos,Religión,Reparación vehiculos,Restaurantes,Sector primario,Servicios médicos,Tiendas,Transporte,Vestimenta,Fijo,Semifijo,AEROPUERTO,AMPLIACION,BARRIO,CANTON,CIUDAD,CIUDAD INDUSTRIAL,COLONIA,CONDOMINIO,CONJUNTO HABITACIONAL,CORREDOR INDUSTRIAL,CUARTEL,EJIDO,EXHACIENDA,FRACCION,FRACCIONAMIENTO,HACIENDA,LOCALIDAD,MANZANA,NINGUNO,OTRO,OTRO (ESPECIFIQUE),PARAJE,PARQUE INDUSTRIAL,PRIVADA,PROLONGACION,PUEBLO,PUERTO,RANCHERIA,RANCHO,RESIDENCIAL,RINCONADA,SECTOR,UNIDAD,UNIDAD HABITACIONAL,VILLA,ZONA COMERCIAL,ZONA FEDERAL,ZONA INDUSTRIAL,ZONA NAVAL,AEROPUERTO,CENTRAL CAMIONERA,CENTRAL DE ABASTO,CENTRO Y PLAZA COMERCIAL,CIUDAD INDUSTRIAL,EDIFICIO COMERCIAL Y DE SERVICIOS,"HOSPITAL, CENTRO MEDICO O CLINICA",MERCADO PUBLICO,NO PLAZA,OTRO CONGLOMERADO,PARQUE INDUSTRIAL,PARQUE RECREATIVO,PASAJE Y ANDADOR COMERCIAL,"TIANGUIS, BAZAR O PULGA",Poblacion_total,Personas con discapacidad,Escolaridad promedio,Población sin seguro,Población con seguro,Población con religión,Población sin religion,Viviendas habitadas
0,0,6,278,94,212,1148,74.0,0.0,14.0,30.0,10.0,2.0,1.0,0.0,12.0,39.0,2.0,0.0,19.0,5.0,4.0,7.0,0.0,16.0,0.0,22.0,43.0,10.0,37.0,26.0,41.0,18.0,665.0,7.0,2.0,1.0,0.0,0.0,4.0,0.0,394.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,93.0,4.0,5.0,1.0,2.0,125.0,5.0,0.0,4.0,9.0,0.0,4.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,7.0,4.0,32.0,0.0,29.0,1.0,16.0,571.0,7.0,4.0,0.0,0.0,0.0,505341320,19890554,7728.44,105316257,398782570,442543446,61401753,145129099
1,8001,0,0,0,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,808416,31810,11.75,168516,637911,708010,98172,232201
2,80000,10,1670,570,2572,8086,298.0,8.0,9.0,36.0,9.0,30.0,3.0,5.0,133.0,160.0,46.0,13.0,23.0,25.0,13.0,135.0,1.0,89.0,16.0,165.0,368.0,27.0,578.0,176.0,25.0,607.0,5244.0,212.0,2.0,0.0,0.0,0.0,48.0,0.0,5246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,3.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,0.0,423.0,62.0,210.0,4233.0,33.0,0.0,0.0,1.0,33.0,4395427048,172954123,63996.96,916235360,3468377381,3849509310,533771321,1262495121
3,80001,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,808561,31817,19.43,168540,638032,708124,98203,232244
4,80002,0,0,0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,808416,31810,11.75,168516,637911,708010,98172,232201
5,80009,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1616832,63620,23.5,337032,1275822,1416020,196344,464402
6,80010,8,120,52,356,1164,71.0,1.0,6.0,21.0,2.0,3.0,5.0,0.0,37.0,9.0,5.0,3.0,16.0,2.0,6.0,4.0,0.0,12.0,10.0,75.0,121.0,1.0,39.0,103.0,3.0,41.0,856.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,0.0,861.0,3.0,0.0,0.0,0.0,0.0,714639945,28120043,10395.03,148968188,563913481,625881027,86784062,205265739
7,80011,0,1,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,808416,31810,11.75,168516,637911,708010,98172,232201
8,80013,0,15,2,21,147,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,13.0,15.0,0.0,2.0,9.0,1.0,0.0,97.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,81650016,3212810,1186.75,17020116,64429011,71509010,9915372,23452301
9,80014,8,119,48,118,1612,90.0,0.0,8.0,9.0,0.0,0.0,2.0,0.0,229.0,3.0,0.0,0.0,20.0,1.0,7.0,0.0,0.0,7.0,5.0,30.0,71.0,0.0,8.0,121.0,1.0,10.0,796.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,2.0,0.0,0.0,0.0,1.0,0.0,312.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,829.0,1.0,0.0,0.0,0.0,0.0,421994580,16604820,6285.3,87965484,332989746,369581556,51245784,121209306
10,80015,2,4,1,32,204,20.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,6.0,11.0,1.0,3.0,42.0,0.0,8.0,166.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,142.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,137430720,5407700,1997.5,28647720,108444870,120361700,16689240,39474170
11,80016,1,17,8,33,145,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,7.0,0.0,5.0,28.0,0.0,6.0,115.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,93776256,3689960,1363.0,19547856,73997676,82129160,11387952,26935316
12,80017,0,6,1,13,110,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,51.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,72757886,2862913,1065.47,15166500,57412375,63721225,8835600,20898203
13,80018,0,0,0,1,102,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,9.0,0.0,2.0,24.0,1.0,3.0,90.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,75991104,2990140,1104.5,15840504,59963634,66552940,9228168,21826894
14,80019,6,19,9,62,683,44.0,0.0,4.0,8.0,1.0,2.0,5.0,0.0,14.0,3.0,0.0,0.0,11.0,1.0,3.0,2.0,0.0,7.0,11.0,25.0,77.0,1.0,10.0,96.0,5.0,37.0,546.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,0.0,513.0,1.0,0.0,0.0,24.0,0.0,451096128,17749980,6556.5,94031928,355954338,395069580,54779976,129568158
15,80020,13,532,250,354,2603,136.0,0.0,17.0,32.0,1.0,8.0,4.0,2.0,42.0,102.0,16.0,8.0,25.0,4.0,9.0,18.0,0.0,27.0,7.0,72.0,168.0,4.0,68.0,121.0,24.0,75.0,1497.0,61.0,11.0,182.0,0.0,0.0,3.0,1.0,1215.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,71.0,4.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,199.0,0.0,129.0,6.0,0.0,1207.0,11.0,0.0,0.0,1.0,0.0,1256279113,49432787,18276.4,261874053,991314144,1100248096,152559371,360840515
